kelurahan,kecamatan,kabupaten,provinsi,kodepos
'ALUS ALUS','TEUPAH SELATAN','SIMEULUE','ACEH','23895'
'ANA AO','TEUPAH SELATAN','SIMEULUE','ACEH','23895'
'BADEGONG','TEUPAH SELATAN','SIMEULUE','ACEH','23895'
'BATU RALANG','TEUPAH SELATAN','SIMEULUE','ACEH','23895'
'BLANG SEBEL','TEUPAH SELATAN','SIMEULUE','ACEH','23895'
'KEBUN BARU','TEUPAH SELATAN','SIMEULUE','ACEH','23895'
'LABUHAN BAJAU','TEUPAH SELATAN','SIMEULUE','ACEH','23895'
'LABUHAN BAKTI','TEUPAH SELATAN','SIMEULUE','ACEH','23895'
'LABUHAN JAYA','TEUPAH SELATAN','SIMEULUE','ACEH','23895'
'LATALING','TEUPAH SELATAN','SIMEULUE','ACEH','23895'
'LATIUNG','TEUPAH SELATAN','SIMEULUE','ACEH','23895'
'PASIR TINGGI','TEUPAH SELATAN','SIMEULUE','ACEH','23895'
'PULAU BENGKALAK','TEUPAH SELATAN','SIMEULUE','ACEH','23895'
'SUAK LAMATAN','TEUPAH SELATAN','SIMEULUE','ACEH','23895'
'ULUL MAYANG','TEUPAH SELATAN','SIMEULUE','ACEH','23895'
'AIR DINGIN','SIMEULUE TIMUR','SIMEULUE','ACEH','23891'
'AIR PINANG','SIMEULUE TIMUR','SIMEULUE','ACEH','23891'
'AMERIA BAHAGIA','SIMEULUE TIMUR','SIMEULUE','ACEH','23891'
'GANTING','SIMEULUE TIMUR','SIMEULUE','ACEH','23891'
'KOTA BATU','SIMEULUE TIMUR','SIMEULUE','ACEH','23891'
'KUALA MAKMUR','SIMEULUE TIMUR','SIMEULUE','ACEH','23891'
'LINGGI','SIMEULUE TIMUR','SIMEULUE','ACEH','23891'
'LUGU','SIMEULUE TIMUR','SIMEULUE','ACEH','23891'
'PULAU SIUMAT','SIMEULUE TIMUR','SIMEULUE','ACEH','23891'
'SEFOYAN','SIMEULUE TIMUR','SIMEULUE','ACEH','23891'
'SINABANG','SIMEULUE TIMUR','SIMEULUE','ACEH','23891'
'SUAK BULUH','SIMEULUE TIMUR','SIMEULUE','ACEH','23891'
'SUKA JAYA','SIMEULUE TIMUR','SIMEULUE','ACEH','23891'
'SUKA KARYA','SIMEULUE TIMUR','SIMEULUE','ACEH','23891'
'SUKA MAJU','SIMEULUE TIMUR','SIMEULUE','ACEH','23891'
'UJUNG TINGGI','SIMEULUE TIMUR','SIMEULUE','ACEH','23891'
'ANGKEO','TEUPAH BARAT','SIMEULUE','ACEH','23896'
'AWE KECIL','TEUPAH BARAT','SIMEULUE','ACEH','23896'
'AWE SEUBAL','TEUPAH BARAT','SIMEULUE','ACEH','23896'
'BUNON','TEUPAH BARAT','SIMEULUE','ACEH','23896'
'INOR','TEUPAH BARAT','SIMEULUE','ACEH','23896'
'LAAYON','TEUPAH BARAT','SIMEULUE','ACEH','23896'
'LANTIK','TEUPAH BARAT','SIMEULUE','ACEH','23896'
'LEUBANG','TEUPAH BARAT','SIMEULUE','ACEH','23896'
'LEUBANG HULU','TEUPAH BARAT','SIMEULUE','ACEH','23896'
'MAUDIL','TEUPAH BARAT','SIMEULUE','ACEH','23896'
'NAIBOS','TEUPAH BARAT','SIMEULUE','ACEH','23896'
'NANCALA','TEUPAH BARAT','SIMEULUE','ACEH','23896'
'PULAU TEUPAH','TEUPAH BARAT','SIMEULUE','ACEH','23896'
'SALUR','TEUPAH BARAT','SIMEULUE','ACEH','23896'
'SALUR LASENGALU','TEUPAH BARAT','SIMEULUE','ACEH','23896'
'SALUR LATUN','TEUPAH BARAT','SIMEULUE','ACEH','23896'
'SILENGAS','TEUPAH BARAT','SIMEULUE','ACEH','23896'
'DIHIT','SIMEULUE TENGAH','SIMEULUE','ACEH','23894'
'KAMPUNG AIE','SIMEULUE TENGAH','SIMEULUE','ACEH','23894'
'KUTA BARU','SIMEULUE TENGAH','SIMEULUE','ACEH','23894'
'LAKUBANG','SIMEULUE TENGAH','SIMEULUE','ACEH','23894'
'LAMAYANG','SIMEULUE TENGAH','SIMEULUE','ACEH','23894'
'LAMBAYA','SIMEULUE TENGAH','SIMEULUE','ACEH','23894'
'LATITIK','SIMEULUE TENGAH','SIMEULUE','ACEH','23894'
'LAUKE','SIMEULUE TENGAH','SIMEULUE','ACEH','23894'
'LUAN SORIP','SIMEULUE TENGAH','SIMEULUE','ACEH','23894'
